mouse_id,genotype,session_id,seg_id,p_right
482,WT,24,482__MOUSE PRL__24__WT__0.6,0.588888888888889
482,WT,25,482__MOUSE PRL__25__WT__0.6,0.622222222222222
482,WT,26,482__MOUSE PRL__26__WT__0.6,0.488888888888889
483,NL3,24,483__MOUSE PRL__24__NL3__0.6,0.355555555555556
483,NL3,25,483__MOUSE PRL__25__NL3__0.6,0.511111111111111
483,NL3,26,483__MOUSE PRL__26__NL3__0.6,0.5
484,NL3,24,484__MOUSE PRL__24__NL3__0.6,0.555555555555556
484,NL3,25,484__MOUSE PRL__25__NL3__0.6,0.455555555555556
484,NL3,26,484__MOUSE PRL__26__NL3__0.6,0.477777777777778
485,NL3,24,485__MOUSE PRL__24__NL3__0.6,0.411111111111111
485,NL3,25,485__MOUSE PRL__25__NL3__0.6,0.411111111111111
485,NL3,26,485__MOUSE PRL__26__NL3__0.6,0.444444444444444
494,NL3,24,494__MOUSE PRL__24__NL3__0.6,0.555555555555556
494,NL3,25,494__MOUSE PRL__25__NL3__0.6,0.533333333333333
494,NL3,26,494__MOUSE PRL__26__NL3__0.6,0.444444444444444
495,WT,24,495__MOUSE PRL__24__WT__0.6,0.533333333333333
495,WT,25,495__MOUSE PRL__25__WT__0.6,0.6
495,WT,26,495__MOUSE PRL__26__WT__0.6,0.488888888888889
496,NL3,24,496__MOUSE PRL__24__NL3__0.6,0.544444444444444
496,NL3,25,496__MOUSE PRL__25__NL3__0.6,0.544444444444444
496,NL3,26,496__MOUSE PRL__26__NL3__0.6,0.611111111111111
497,WT,24,497__MOUSE PRL__24__WT__0.6,0.466666666666667
497,WT,25,497__MOUSE PRL__25__WT__0.6,0.544444444444444
497,WT,26,497__MOUSE PRL__26__WT__0.6,0.577777777777778
498,NL3,24,498__MOUSE PRL__24__NL3__0.6,0.622222222222222
498,NL3,25,498__MOUSE PRL__25__NL3__0.6,0.433333333333333
498,NL3,26,498__MOUSE PRL__26__NL3__0.6,0.488888888888889
499,NL3,24,499__MOUSE PRL__24__NL3__0.6,0.333333333333333
499,NL3,25,499__MOUSE PRL__25__NL3__0.6,0.444444444444444
499,NL3,26,499__MOUSE PRL__26__NL3__0.6,0.4
511,NL3,24,511__MOUSE PRL__24__NL3__0.6,0.577777777777778
511,NL3,25,511__MOUSE PRL__25__NL3__0.6,0.5
511,NL3,26,511__MOUSE PRL__26__NL3__0.6,0.433333333333333
512,WT,24,512__MOUSE PRL__24__WT__0.6,0.488888888888889
512,WT,25,512__MOUSE PRL__25__WT__0.6,0.477777777777778
512,WT,26,512__MOUSE PRL__26__WT__0.6,0.511111111111111
513,WT,24,513__MOUSE PRL__24__WT__0.6,0.5
513,WT,25,513__MOUSE PRL__25__WT__0.6,0.466666666666667
513,WT,26,513__MOUSE PRL__26__WT__0.6,0.533333333333333
522,NL3,24,522__MOUSE PRL__24__NL3__0.6,0.6
522,NL3,25,522__MOUSE PRL__25__NL3__0.6,0.511111111111111
522,NL3,26,522__MOUSE PRL__26__NL3__0.6,0.522222222222222
523,NL3,24,523__MOUSE PRL__24__NL3__0.6,0.555555555555556
523,NL3,25,523__MOUSE PRL__25__NL3__0.6,0.722222222222222
523,NL3,26,523__MOUSE PRL__26__NL3__0.6,0.588888888888889
524,WT,24,524__MOUSE PRL__24__WT__0.6,0.477777777777778
524,WT,25,524__MOUSE PRL__25__WT__0.6,0.544444444444444
524,WT,26,524__MOUSE PRL__26__WT__0.6,0.544444444444444
525,WT,24,525__MOUSE PRL__24__WT__0.6,0.4
525,WT,25,525__MOUSE PRL__25__WT__0.6,0.4
525,WT,26,525__MOUSE PRL__26__WT__0.6,0.5
531,WT,24,531__MOUSE PRL__24__WT__0.6,0.533333333333333
531,WT,25,531__MOUSE PRL__25__WT__0.6,0.511111111111111
531,WT,26,531__MOUSE PRL__26__WT__0.6,0.377777777777778
532,WT,24,532__MOUSE PRL__24__WT__0.6,0.422222222222222
532,WT,25,532__MOUSE PRL__25__WT__0.6,0.411111111111111
