mouse_id,genotype,session_id,seg_id,p_right
512,WT,5,512__MOUSE DRL Overtraining__5__WT__1,0.544444444444444
512,WT,6,512__MOUSE DRL Overtraining__6__WT__1,0.488888888888889
513,WT,1,513__MOUSE DRL Overtraining__1__WT__1,0.566666666666667
513,WT,2,513__MOUSE DRL Overtraining__2__WT__1,0.555555555555556
513,WT,3,513__MOUSE DRL Overtraining__3__WT__1,0.466666666666667
513,WT,4,513__MOUSE DRL Overtraining__4__WT__1,0.544444444444444
513,WT,5,513__MOUSE DRL Overtraining__5__WT__1,0.488888888888889
513,WT,6,513__MOUSE DRL Overtraining__6__WT__1,0.488888888888889
522,NL3,1,522__MOUSE DRL Overtraining__1__NL3__1,0.533333333333333
522,NL3,2,522__MOUSE DRL Overtraining__2__NL3__1,0.488888888888889
522,NL3,3,522__MOUSE DRL Overtraining__3__NL3__1,0.511111111111111
522,NL3,4,522__MOUSE DRL Overtraining__4__NL3__1,0.411111111111111
522,NL3,5,522__MOUSE DRL Overtraining__5__NL3__1,0.477777777777778
522,NL3,6,522__MOUSE DRL Overtraining__6__NL3__1,0.488888888888889
523,NL3,1,523__MOUSE DRL Overtraining__1__NL3__1,0.566666666666667
523,NL3,2,523__MOUSE DRL Overtraining__2__NL3__1,0.555555555555556
523,NL3,3,523__MOUSE DRL Overtraining__3__NL3__1,0.5
523,NL3,4,523__MOUSE DRL Overtraining__4__NL3__1,0.533333333333333
523,NL3,5,523__MOUSE DRL Overtraining__5__NL3__1,0.477777777777778
523,NL3,6,523__MOUSE DRL Overtraining__6__NL3__1,0.455555555555556
524,WT,1,524__MOUSE DRL Overtraining__1__WT__1,0.444444444444444
524,WT,2,524__MOUSE DRL Overtraining__2__WT__1,0.533333333333333
524,WT,3,524__MOUSE DRL Overtraining__3__WT__1,0.555555555555556
524,WT,4,524__MOUSE DRL Overtraining__4__WT__1,0.477777777777778
524,WT,5,524__MOUSE DRL Overtraining__5__WT__1,0.5
524,WT,6,524__MOUSE DRL Overtraining__6__WT__1,0.488888888888889
525,WT,1,525__MOUSE DRL Overtraining__1__WT__1,0.466666666666667
525,WT,2,525__MOUSE DRL Overtraining__2__WT__1,0.533333333333333
525,WT,3,525__MOUSE DRL Overtraining__3__WT__1,0.511111111111111
525,WT,4,525__MOUSE DRL Overtraining__4__WT__1,0.533333333333333
525,WT,5,525__MOUSE DRL Overtraining__5__WT__1,0.5
525,WT,6,525__MOUSE DRL Overtraining__6__WT__1,0.5
531,WT,1,531__MOUSE DRL Overtraining__1__WT__1,0.566666666666667
531,WT,2,531__MOUSE DRL Overtraining__2__WT__1,0.488888888888889
531,WT,3,531__MOUSE DRL Overtraining__3__WT__1,0.522222222222222
531,WT,4,531__MOUSE DRL Overtraining__4__WT__1,0.488888888888889
531,WT,5,531__MOUSE DRL Overtraining__5__WT__1,0.577777777777778
531,WT,6,531__MOUSE DRL Overtraining__6__WT__1,0.477777777777778
532,WT,1,532__MOUSE DRL Overtraining__1__WT__1,0.522222222222222
532,WT,2,532__MOUSE DRL Overtraining__2__WT__1,0.488888888888889
532,WT,3,532__MOUSE DRL Overtraining__3__WT__1,0.5
532,WT,4,532__MOUSE DRL Overtraining__4__WT__1,0.477777777777778
