mouse_id,genotype,session_id,seg_id,model,alpha,beta,alpha_pos,alpha_neg,kappa0,kappa1,p_win_stay,p_loss_switch,p_switch,npar,logLik,nll,aic,bic
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,random,,,,,,,,,,,,62.2943280743479,126.588656148696,129.088465819026
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,wsls,,,,,,,0.857142863666592,0.653846163684238,,,,43.3013371763066,90.6026743526131,95.6022936932736
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,q-learning,0.655100591596398,2.23529274611404,,,,,,,,,,41.8019530337334,87.6039060674668,92.6035254081273
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,assymetric q-learning,,2.40680996678779,0.441548209267724,0.830627604479557,,,,,,,,41.5414408678317,89.0828817356634,96.5823107466542
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,q-learning with stickiness,0.578208831551496,2.07877936160118,,,-0.55823260715282,3.55732622442465,,,,,,40.6373758269364,89.2747516538728,99.2739903351939
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,q-learning dual-alpha with stickiness,,2.6716601804146,0.842834152101031,0.24146694831776,-0.892569628034787,5.27132251490613,,,,,,40.6172889794561,91.2345779589123,103.733626310564
482,WT,1,482__MOUSE DRL Overtraining__1__WT__1,hmm,,,,,,,,,0.134831460674157,10,-53.3184482308209,53.3184482308209,126.636896461642,151.634993164944
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,random,,,,,,,,,,,,62.0272209872465,126.054441974493,128.554251644823
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,wsls,,,,,,,0.901639356036825,0.57142857694802,,,,39.4239978235909,82.8479956471819,87.8476149878424
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,q-learning,0.738659252742006,1.96773917613268,,,,,,,,,,43.3607504832557,90.7215009665113,95.7211203071718
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,assymetric q-learning,,4.83795158211245,0.15214718528107,0.999954602131298,,,,,,,,39.6486497817265,85.297299563453,92.7967285744438
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,q-learning with stickiness,0.731045175105242,1.52390287677806,,,0.448895003501563,0.612532940404119,,,,,,41.9320671699067,91.8641343398134,101.863373021134
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,q-learning dual-alpha with stickiness,,4.61959050400198,0.151020752211223,0.999954602131298,0.392441310732828,-0.766036375587439,,,,,,39.0678611353903,88.1357222707806,100.634770622432
482,WT,2,482__MOUSE DRL Overtraining__2__WT__1,hmm,,,,,,,,,0.157303370786517,10,-49.3722330494101,49.3722330494101,118.74446609882,143.742562802123
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,random,,,,,,,,,,,,62.2943280743479,126.588656148696,129.088465819026
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,wsls,,,,,,,0.956521745543098,0.800000015780111,,,,23.0414946287862,50.0829892575724,55.082608598233
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,q-learning,0.883951764020573,3.19525108984813,,,,,,,,,,26.9955337550273,57.9910675100546,62.9906868507151
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,assymetric q-learning,,148.413159102577,0.0113869047341131,0.999954602131298,,,,,,,,22.1426267950607,50.2852535901214,57.7846826011122
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,q-learning with stickiness,0.854096297818961,3.48038982082348,,,-2.42376873838019,8,,,,,,23.3080627432589,54.6161254865179,64.6153641678389
482,WT,3,482__MOUSE DRL Overtraining__3__WT__1,q-learning dual-alpha with stickiness,,148.413159102577,0.0139677116803219,0.999954602131298,-2.16179711989932,6.30883976931803,,,,,,19.4195875087819,48.8391750175638,61.3382233692152
