mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
483,NL3,1,483__MOUSE DRL Overtraining__1__NL3__1,assymetric q-learning,41.6459038617986,89.2918077235972,96.791236734588
483,NL3,1,483__MOUSE DRL Overtraining__1__NL3__1,q-learning with stickiness,41.4787680998793,90.9575361997586,100.95677488108
483,NL3,1,483__MOUSE DRL Overtraining__1__NL3__1,q-learning dual-alpha with stickiness,41.3802573452013,92.7605146904027,105.259563042054
483,NL3,1,483__MOUSE DRL Overtraining__1__NL3__1,hmm,51.331040065346,122.662080130692,147.660176833995
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,random,61.5808588615471,125.161717723094,127.661527393424
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,wsls,46.4356656580398,96.8713313160795,101.87095065674
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,q-learning,42.3870694442089,88.7741388884177,93.7737582290782
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,assymetric q-learning,42.135365328052,90.2707306561041,97.7701596670949
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,q-learning with stickiness,42.2261115619764,92.4522231239528,102.451461805274
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,q-learning dual-alpha with stickiness,41.9669817335966,93.9339634671933,106.433011818845
483,NL3,2,483__MOUSE DRL Overtraining__2__NL3__1,hmm,53.2421170248054,126.484234049611,151.482330752914
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,random,62.361022198642,126.722044397284,129.221854067614
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,wsls,49.70341155262,103.40682310524,108.406442445901
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,q-learning,55.2428286671628,114.485657334326,119.485276674986
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,assymetric q-learning,54.0967914551599,114.19358291032,121.693011921311
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,q-learning with stickiness,51.5147593476489,111.029518695298,121.028757376619
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,q-learning dual-alpha with stickiness,50.9818906488135,111.963781297627,124.462829649278
483,NL3,3,483__MOUSE DRL Overtraining__3__NL3__1,hmm,54.6185075556272,129.237015111254,154.235111814557
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,random,62.0272209872465,126.054441974493,128.554251644823
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,wsls,39.4261591597762,82.8523183195523,87.8519376602129
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,q-learning,39.6041119067629,83.2082238135258,88.2078431541863
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,assymetric q-learning,39.5137455207493,85.0274910414986,92.5269200524894
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,q-learning with stickiness,38.7447694522866,85.4895389045732,95.4887775858942
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,q-learning dual-alpha with stickiness,38.6751332815981,87.3502665631962,99.8493149148475
483,NL3,4,483__MOUSE DRL Overtraining__4__NL3__1,hmm,52.2155975619795,124.431195123959,149.429291827262
483,NL3,5,483__MOUSE DRL Overtraining__5__NL3__1,random,62.361022198642,126.722044397284,129.221854067614
483,NL3,5,483__MOUSE DRL Overtraining__5__NL3__1,wsls,43.9764652572695,91.9529305145391,96.9525498551996
483,NL3,5,483__MOUSE DRL Overtraining__5__NL3__1,q-learning,44.1349552934519,92.2699105869038,97.2695299275644
