Model,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm,stage
random,0,2,1,5,5,6,59,DRL-OT
wsls,190,0,127,134,147,154,192,DRL-OT
q-learning,191,65,0,145,125,133,190,DRL-OT
assymetric q-learning,187,58,47,0,109,126,191,DRL-OT
q-learning with stickiness,187,45,67,83,0,155,192,DRL-OT
q-learning dual-alpha with stickiness,186,38,59,66,37,0,192,DRL-OT
hmm,133,0,2,1,0,0,0,DRL-OT
