mouse_id,genotype,session_id,seg_id,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,125.641909731636,109.827586255972,113.291740757375,117.458463171506,121.062316675542,125.314238135589,155.176015362392
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,129.088465819026,95.7047437916089,94.1739874357785,98.0406339047192,101.621736166441,105.061978963395,149.419344217403
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,129.221854067614,82.9006396751575,101.954838432302,106.454648102634,101.514468031248,105.950316266124,142.24706315564
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,125.641909731636,115.051857085176,120.775052979632,119.415909665296,122.879945865806,123.467706078348,153.488834135635
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,127.079655457744,126.189981380109,128.075185108639,130.15639476219,134.08359803139,136.869391290672,160.364450543257
483,NL3,3,483__MOUSE PRL 7 to Reversal__3__NL3__0.8,129.221854067614,127.634173373746,126.518806313334,130.067437786319,135.358502086804,138.895715297524,167.384369838911
484,NL3,1,484__MOUSE PRL 7 to Reversal__1__NL3__0.8,125.641909731636,127.770342464792,129.583099415992,132.828190789456,137.571358090951,141.042293373756,163.308280677524
484,NL3,2,484__MOUSE PRL 7 to Reversal__2__NL3__0.8,128.866005346458,131.275553253363,132.558407897096,136.758027899745,139.308271927426,143.776916107632,166.819424311626
484,NL3,3,484__MOUSE PRL 7 to Reversal__3__NL3__0.8,124.784535649587,121.188293808501,121.394683165273,123.102671974859,125.549148284581,128.941306414276,158.227745165521
485,NL3,1,485__MOUSE PRL 7 to Reversal__1__NL3__0.8,128.152893457488,124.855647215297,128.523890785891,133.023700456222,133.571407055025,138.071216725888,162.524349038012
485,NL3,2,485__MOUSE PRL 7 to Reversal__2__NL3__0.8,126.40668195722,113.48771053985,113.668793792144,117.25662164445,122.231049716726,125.930748683697,152.5216015549
485,NL3,3,485__MOUSE PRL 7 to Reversal__3__NL3__0.8,128.152893457488,107.09102709312,108.682288342676,113.182098013006,116.896920085062,121.396729755395,159.587043346575
494,NL3,1,494__MOUSE PRL 7 to Reversal__1__NL3__0.8,129.221854067614,127.211024101174,121.90015209235,126.399939568552,127.327930696177,131.800688218379,162.633055505202
494,NL3,2,494__MOUSE PRL 7 to Reversal__2__NL3__0.8,122.788206739492,117.437871444471,116.609301528245,114.865240799342,122.748120450849,122.054685066914,152.144661904661
494,NL3,3,494__MOUSE PRL 7 to Reversal__3__NL3__0.8,128.866005346458,124.895030659705,119.408688130212,123.58478553483,123.71038499348,127.966132995559,154.656967950302
495,WT,1,495__MOUSE PRL 7 to Reversal__1__WT__0.8,129.088465819026,107.780568483437,114.929303355531,119.295871460419,110.537684397243,113.864400007451,150.367706245986
495,WT,2,495__MOUSE PRL 7 to Reversal__2__WT__0.8,129.088465819026,113.566068303634,121.057004241882,124.547524248235,119.426141744898,123.146002075631,151.671755731954
495,WT,3,495__MOUSE PRL 7 to Reversal__3__WT__0.8,128.866005346458,104.948527834697,128.603207904368,131.933198645682,114.617703837797,118.930134843968,142.097158586214
496,NL3,1,496__MOUSE PRL 7 to Reversal__1__NL3__0.8,129.26630217076,124.279647464105,129.91639111688,132.675878703658,129.578389459846,133.336616394585,159.553280280591
496,NL3,2,496__MOUSE PRL 7 to Reversal__2__NL3__0.8,120.408925270464,120.823170577637,123.736906228778,128.236715899108,119.601571070825,124.101380741099,155.28433924086
496,NL3,3,496__MOUSE PRL 7 to Reversal__3__NL3__0.8,123.833645293182,115.953199078183,112.443467350543,114.410876386723,120.907554139121,121.570978519857,155.78844062852
497,WT,1,497__MOUSE PRL 7 to Reversal__1__WT__0.8,128.554251644823,124.131689908596,121.042803997297,123.336394820896,127.641395987885,131.064019409517,155.52340284108
497,WT,2,497__MOUSE PRL 7 to Reversal__2__WT__0.8,129.26630217076,119.948113531743,114.488548535986,115.526391050658,123.049731871792,124.106672167803,154.943718808294
497,WT,3,497__MOUSE PRL 7 to Reversal__3__WT__0.8,129.26630217076,125.4230555182,126.995388525999,130.553847056474,130.952293120083,134.559801403033,161.593498620651
498,NL3,1,498__MOUSE PRL 7 to Reversal__1__NL3__0.8,128.554251644823,113.130241336636,127.637311094627,131.935955920075,122.901243721577,127.326665942759,147.059382552003
498,NL3,2,498__MOUSE PRL 7 to Reversal__2__NL3__0.8,122.788206739492,104.852091839774,106.387246373105,107.267812160132,114.812804859657,115.554321829459,150.562964023688
498,NL3,3,498__MOUSE PRL 7 to Reversal__3__NL3__0.8,122.788206739492,113.292712608883,115.805274660309,116.372877923371,116.061238476229,118.297132684362,145.576926006596
499,NL3,1,499__MOUSE PRL 7 to Reversal__1__NL3__0.8,127.079655457744,122.866717362789,124.938562460939,126.19589170251,131.273067274412,133.513636144934,161.15226107217
499,NL3,2,499__MOUSE PRL 7 to Reversal__2__NL3__0.8,127.079655457744,127.750499523806,126.821798291361,130.932624235067,132.340549713836,136.375962821233,165.406150305024
499,NL3,3,499__MOUSE PRL 7 to Reversal__3__NL3__0.8,126.40668195722,106.629791829291,115.740306839142,120.192593289388,114.441440580399,118.938260520653,147.80587954606
511,NL3,1,511__MOUSE PRL 7 to Reversal__1__NL3__0.8,127.079655457744,130.024226047934,129.293920950779,132.555589641089,137.240055516803,140.375029513356,165.476062000023
511,NL3,2,511__MOUSE PRL 7 to Reversal__2__NL3__0.8,128.152893457488,119.729983041891,116.548574752698,118.516376912696,124.624454708614,127.244847599922,159.502580929369
511,NL3,3,511__MOUSE PRL 7 to Reversal__3__NL3__0.8,128.866005346458,108.601737592763,115.543722097427,119.46285605541,119.016215908064,123.182019731378,153.78336409943
512,WT,1,512__MOUSE PRL 7 to Reversal__1__WT__0.8,128.554251644823,104.849322558923,108.1689010125,111.244299959783,109.03469023608,112.517059513375,153.480668037809
512,WT,2,512__MOUSE PRL 7 to Reversal__2__WT__0.8,129.26630217076,112.99633904723,115.606650581632,119.419109070809,121.564482707675,125.653107839537,156.067323265682
512,WT,3,512__MOUSE PRL 7 to Reversal__3__WT__0.8,128.152893457488,103.384325498644,105.830752141283,108.863637315878,113.213668672009,116.277307001147,153.490199036008
513,WT,1,513__MOUSE PRL 7 to Reversal__1__WT__0.8,127.661527393424,111.775373788608,114.374075757056,116.997538226936,121.518181253037,124.47216738114,158.054856838042
513,WT,2,513__MOUSE PRL 7 to Reversal__2__WT__0.8,128.554251644823,113.085810034044,112.596644841963,116.440539893162,121.142560778082,124.952723390049,158.842268893079
513,WT,3,513__MOUSE PRL 7 to Reversal__3__WT__0.8,129.221854067614,86.0555844523553,95.7449472820742,94.9963444936785,96.8615067887145,98.4557840082156,137.28871086311
522,NL3,1,522__MOUSE PRL 7 to Reversal__1__NL3__0.8,128.866005346458,123.972161760952,124.831267218444,128.804319580699,128.990349737037,133.290971692015,158.65508171286
522,NL3,2,522__MOUSE PRL 7 to Reversal__2__NL3__0.8,127.661527393424,124.125453587329,126.480045243364,130.979854913694,133.646442625462,138.14625229583,163.795621496274
522,NL3,3,522__MOUSE PRL 7 to Reversal__3__NL3__0.8,126.40668195722,132.821115076805,129.686861125401,133.756348115849,137.810528999521,142.000160379275,165.680116063713
523,NL3,1,523__MOUSE PRL 7 to Reversal__1__NL3__0.8,129.221854067614,122.459720283804,129.48308695367,132.946803271119,132.074665804532,135.928774948691,159.787760317318
523,NL3,2,523__MOUSE PRL 7 to Reversal__2__NL3__0.8,126.40668195722,95.8580109198852,97.154515216938,99.5786587623232,101.540190652724,104.556996112508,140.394507524712
523,NL3,3,523__MOUSE PRL 7 to Reversal__3__NL3__0.8,128.554251644823,99.2595614684478,96.9422056960765,101.442015366407,103.441100679947,107.939322645589,140.985463866063
524,WT,1,524__MOUSE PRL 7 to Reversal__1__WT__0.8,129.26630217076,112.992340332214,116.615579578949,114.941611512227,122.04954839445,122.850847849946,158.893073678951
524,WT,2,524__MOUSE PRL 7 to Reversal__2__WT__0.8,129.088465819026,109.955723332786,119.869056511409,121.323666635848,117.460280506067,121.629859495322,155.634829890732
524,WT,3,524__MOUSE PRL 7 to Reversal__3__WT__0.8,129.26630217076,122.294347701698,126.790012220931,129.27548881286,130.297892092247,133.921304751005,159.168922565762
