mouse_id,genotype,session_id,seg_id,p_right
482,WT,1,482__MOUSE PRL 7 to Reversal__1__WT__0.8,0.4
482,WT,2,482__MOUSE PRL 7 to Reversal__2__WT__0.8,0.522222222222222
482,WT,3,482__MOUSE PRL 7 to Reversal__3__WT__0.8,0.511111111111111
483,NL3,1,483__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.4
483,NL3,2,483__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.422222222222222
483,NL3,3,483__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.511111111111111
484,NL3,1,484__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.4
484,NL3,2,484__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.466666666666667
484,NL3,3,484__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.611111111111111
485,NL3,1,485__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.555555555555556
485,NL3,2,485__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.411111111111111
485,NL3,3,485__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.444444444444444
494,NL3,1,494__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.511111111111111
494,NL3,2,494__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.366666666666667
494,NL3,3,494__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.533333333333333
495,WT,1,495__MOUSE PRL 7 to Reversal__1__WT__0.8,0.522222222222222
495,WT,2,495__MOUSE PRL 7 to Reversal__2__WT__0.8,0.477777777777778
495,WT,3,495__MOUSE PRL 7 to Reversal__3__WT__0.8,0.533333333333333
496,NL3,1,496__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.5
496,NL3,2,496__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.344444444444444
496,NL3,3,496__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.622222222222222
497,WT,1,497__MOUSE PRL 7 to Reversal__1__WT__0.8,0.544444444444444
497,WT,2,497__MOUSE PRL 7 to Reversal__2__WT__0.8,0.5
497,WT,3,497__MOUSE PRL 7 to Reversal__3__WT__0.8,0.5
498,NL3,1,498__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.455555555555556
498,NL3,2,498__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.633333333333333
498,NL3,3,498__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.633333333333333
499,NL3,1,499__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.422222222222222
499,NL3,2,499__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.577777777777778
499,NL3,3,499__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.411111111111111
511,NL3,1,511__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.577777777777778
511,NL3,2,511__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.555555555555556
511,NL3,3,511__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.533333333333333
512,WT,1,512__MOUSE PRL 7 to Reversal__1__WT__0.8,0.544444444444444
512,WT,2,512__MOUSE PRL 7 to Reversal__2__WT__0.8,0.5
512,WT,3,512__MOUSE PRL 7 to Reversal__3__WT__0.8,0.555555555555556
513,WT,1,513__MOUSE PRL 7 to Reversal__1__WT__0.8,0.433333333333333
513,WT,2,513__MOUSE PRL 7 to Reversal__2__WT__0.8,0.455555555555556
513,WT,3,513__MOUSE PRL 7 to Reversal__3__WT__0.8,0.488888888888889
522,NL3,1,522__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.533333333333333
522,NL3,2,522__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.433333333333333
522,NL3,3,522__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.411111111111111
523,NL3,1,523__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.511111111111111
523,NL3,2,523__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.588888888888889
523,NL3,3,523__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.544444444444444
524,WT,1,524__MOUSE PRL 7 to Reversal__1__WT__0.8,0.5
524,WT,2,524__MOUSE PRL 7 to Reversal__2__WT__0.8,0.477777777777778
524,WT,3,524__MOUSE PRL 7 to Reversal__3__WT__0.8,0.5
525,WT,1,525__MOUSE PRL 7 to Reversal__1__WT__0.8,0.5
525,WT,2,525__MOUSE PRL 7 to Reversal__2__WT__0.8,0.5
525,WT,3,525__MOUSE PRL 7 to Reversal__3__WT__0.8,0.577777777777778
531,WT,1,531__MOUSE PRL 7 to Reversal__1__WT__0.8,0.6
531,WT,2,531__MOUSE PRL 7 to Reversal__2__WT__0.8,0.544444444444444
531,WT,3,531__MOUSE PRL 7 to Reversal__3__WT__0.8,0.466666666666667
532,WT,1,532__MOUSE PRL 7 to Reversal__1__WT__0.8,0.455555555555556
532,WT,2,532__MOUSE PRL 7 to Reversal__2__WT__0.8,0.533333333333333
532,WT,3,532__MOUSE PRL 7 to Reversal__3__WT__0.8,0.544444444444444
533,WT,1,533__MOUSE PRL 7 to Reversal__1__WT__0.8,0.522222222222222
533,WT,2,533__MOUSE PRL 7 to Reversal__2__WT__0.8,0.577777777777778
533,WT,3,533__MOUSE PRL 7 to Reversal__3__WT__0.8,0.388888888888889
537,NL3,1,537__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.466666666666667
537,NL3,2,537__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.6
537,NL3,3,537__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.466666666666667
543,NL3,1,543__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.466666666666667
543,NL3,2,543__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.566666666666667
543,NL3,3,543__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.544444444444444
544,WT,1,544__MOUSE PRL 7 to Reversal__1__WT__0.8,0.577777777777778
544,WT,2,544__MOUSE PRL 7 to Reversal__2__WT__0.8,0.5
544,WT,3,544__MOUSE PRL 7 to Reversal__3__WT__0.8,0.444444444444444
546,WT,1,546__MOUSE PRL 7 to Reversal__1__WT__0.8,0.555555555555556
546,WT,2,546__MOUSE PRL 7 to Reversal__2__WT__0.8,0.611111111111111
546,WT,3,546__MOUSE PRL 7 to Reversal__3__WT__0.8,0.533333333333333
554,WT,1,554__MOUSE PRL 7 to Reversal__1__WT__0.8,0.5
554,WT,2,554__MOUSE PRL 7 to Reversal__2__WT__0.8,0.544444444444444
554,WT,3,554__MOUSE PRL 7 to Reversal__3__WT__0.8,0.555555555555556
555,NL3,1,555__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.511111111111111
555,NL3,2,555__MOUSE PRL 7 to Reversal__2__NL3__0.8,0.377777777777778
555,NL3,3,555__MOUSE PRL 7 to Reversal__3__NL3__0.8,0.488888888888889
556,WT,1,556__MOUSE PRL 7 to Reversal__1__WT__0.8,0.488888888888889
556,WT,2,556__MOUSE PRL 7 to Reversal__2__WT__0.8,0.422222222222222
556,WT,3,556__MOUSE PRL 7 to Reversal__3__WT__0.8,0.577777777777778
557,NL3,1,557__MOUSE PRL 7 to Reversal__1__NL3__0.8,0.433333333333333
