Model,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm,stage
random,0,7,11,23,23,31,96,PRL-Probe3
wsls,89,0,70,84,94,96,96,PRL-Probe3
q-learning,85,26,0,90,75,89,96,PRL-Probe3
assymetric q-learning,73,12,6,0,63,79,96,PRL-Probe3
q-learning with stickiness,73,2,21,33,0,93,96,PRL-Probe3
q-learning dual-alpha with stickiness,65,0,7,17,3,0,96,PRL-Probe3
hmm,0,0,0,0,0,0,0,PRL-Probe3
