mouse_id,genotype,session_id,seg_id,model,alpha,beta,alpha_pos,alpha_neg,kappa0,kappa1,p_win_stay,p_loss_switch,p_switch,npar,logLik,nll,aic,bic
482,WT,1,482__MOUSE DRL__1__WT__1,random,,,,,,,,,,,,47.8199088279939,97.6398176559879,99.8739241605851
482,WT,1,482__MOUSE DRL__1__WT__1,wsls,,,,,,,0.694444456451993,0.406249992727121,,,,44.4659519809217,92.9319039618434,97.4001169710379
482,WT,1,482__MOUSE DRL__1__WT__1,q-learning,0.0629225417411654,1.82451649445735,,,,,,,,,,45.9969584766625,95.993916953325,100.462129962519
482,WT,1,482__MOUSE DRL__1__WT__1,assymetric q-learning,,148.413159102577,0.000554580559270556,0.0978992593768031,,,,,,,,45.7651783479202,97.5303566958404,104.232676209632
482,WT,1,482__MOUSE DRL__1__WT__1,q-learning with stickiness,0.0817118322557342,1.17821431059757,,,0.531183772329158,-0.653294319012026,,,,,,43.9303878250187,95.8607756500373,104.797201668426
482,WT,1,482__MOUSE DRL__1__WT__1,q-learning dual-alpha with stickiness,,148.413159102577,0.000445947081355345,0.153164078821696,0.526236194188974,-0.850021681225175,,,,,,43.7388498831924,97.4776997663849,108.648232289371
482,WT,1,482__MOUSE DRL__1__WT__1,hmm,,,,,,,,,0.352941176470588,10,-44.1328388516172,44.1328388516172,108.265677703234,130.606742749207
482,WT,2,482__MOUSE DRL__2__WT__1,random,,,,,,,,,,,,41.8794524953836,85.7589049907673,87.8697788549406
482,WT,2,482__MOUSE DRL__2__WT__1,wsls,,,,,,,0.648648658418096,0.478260863623262,,,,40.6001155411779,85.2002310823559,89.4219788107025
482,WT,2,482__MOUSE DRL__2__WT__1,q-learning,0.999954602131298,0.390866826636599,,,,,,,,,,41.2138936558872,86.4277873117743,90.6495350401209
482,WT,2,482__MOUSE DRL__2__WT__1,assymetric q-learning,,0.4622375821547,0.999954602131298,0.342835919514938,,,,,,,,41.0576522449537,88.1153044899075,94.4479260824274
482,WT,2,482__MOUSE DRL__2__WT__1,q-learning with stickiness,0.999954602131298,0.889789779217332,,,1.06440098773912,-6.21163486068571,,,,,,36.9164700134872,81.8329400269744,90.2764354836676
482,WT,2,482__MOUSE DRL__2__WT__1,q-learning dual-alpha with stickiness,,1.04007299729128,0.999954602131298,0.3967597193478,1.08023754339643,-6.50203773562001,,,,,,36.5555438107364,83.1110876214729,93.6654569423394
482,WT,2,482__MOUSE DRL__2__WT__1,hmm,,,,,,,,,0.4,10,-40.1789086961955,40.1789086961955,100.357817392391,121.466556034124
482,WT,3,482__MOUSE DRL__3__WT__1,random,,,,,,,,,,,,57.5870243779701,117.17404875594,119.616700012431
482,WT,3,482__MOUSE DRL__3__WT__1,wsls,,,,,,,0.653061235686106,0.542857144388758,,,,56.4555880415643,116.911176083129,121.796478596109
482,WT,3,482__MOUSE DRL__3__WT__1,q-learning,0.271551527995409,0.880076868080012,,,,,,,,,,54.0354492926578,112.070898585316,116.956201098296
482,WT,3,482__MOUSE DRL__3__WT__1,assymetric q-learning,,2.30452396856011,0.618319037607844,0.02494912142454,,,,,,,,52.0816814018089,110.163362803618,117.491316573089
482,WT,3,482__MOUSE DRL__3__WT__1,q-learning with stickiness,0.280052368579727,0.911253411441922,,,0.10245160811239,-0.626382461051613,,,,,,53.9338088448564,115.867617689713,125.638222715674
482,WT,3,482__MOUSE DRL__3__WT__1,q-learning dual-alpha with stickiness,,2.36767165365676,0.597763570503793,0.0238889538070148,-0.0651989659427727,0.246440784650045,,,,,,52.054569014349,114.109138028698,126.32239431115
482,WT,3,482__MOUSE DRL__3__WT__1,hmm,,,,,,,,,0.0238095238095238,10,-55.6065671650522,55.6065671650522,131.213134330104,155.639646895008
482,WT,4,482__MOUSE DRL__4__WT__1,random,,,,,,,,,,,,61.289922893707,124.579845787414,127.079655457744
482,WT,4,482__MOUSE DRL__4__WT__1,wsls,,,,,,,0.830508484136854,0.566666670754995,,,,48.0697637875453,100.139527575091,105.139146915751
482,WT,4,482__MOUSE DRL__4__WT__1,q-learning,0.638854503304604,1.69647632909458,,,,,,,,,,47.7355434482658,99.4710868965317,104.470706237192
482,WT,4,482__MOUSE DRL__4__WT__1,assymetric q-learning,,5.55228214871195,0.0845750300054059,0.999954602131298,,,,,,,,44.3573071482578,94.7146142965156,102.214043307506
482,WT,4,482__MOUSE DRL__4__WT__1,q-learning with stickiness,0.591928521214912,1.25728175873538,,,0.174635124447094,1.75142611630483,,,,,,46.7208916748848,101.44178334977,111.441022031091
482,WT,4,482__MOUSE DRL__4__WT__1,q-learning dual-alpha with stickiness,,6.05577524628994,0.0656063792768982,0.999954602131298,0.126187719803331,0.66829988313497,,,,,,44.148194602719,98.2963892054379,110.795437557089
482,WT,4,482__MOUSE DRL__4__WT__1,hmm,,,,,,,,,0.0786516853932584,10,-51.8265111269229,51.8265111269229,123.653022253846,148.651118957148
482,WT,5,482__MOUSE DRL__5__WT__1,random,,,,,,,,,,,,62.3832462502151,126.76649250043,129.26630217076
482,WT,5,482__MOUSE DRL__5__WT__1,wsls,,,,,,,0.754098369466948,0.642857154645808,,,,52.9673793529347,109.934758705869,114.93437804653
