mouse_id,genotype,session_id,seg_id,p_right
499,NL3,5,499__MOUSE DRL__5__NL3__1,0.422222222222222
499,NL3,6,499__MOUSE DRL__6__NL3__1,0.5
499,NL3,7,499__MOUSE DRL__7__NL3__1,0.466666666666667
499,NL3,8,499__MOUSE DRL__8__NL3__1,0.5
499,NL3,9,499__MOUSE DRL__9__NL3__1,0.477777777777778
511,NL3,10,511__MOUSE DRL__10__NL3__1,0.455555555555556
511,NL3,11,511__MOUSE DRL__11__NL3__1,0.522222222222222
511,NL3,12,511__MOUSE DRL__12__NL3__1,0.522222222222222
511,NL3,13,511__MOUSE DRL__13__NL3__1,0.477777777777778
511,NL3,14,511__MOUSE DRL__14__NL3__1,0.477777777777778
511,NL3,1,511__MOUSE DRL__1__NL3__1,0.522222222222222
511,NL3,2,511__MOUSE DRL__2__NL3__1,0.422222222222222
511,NL3,3,511__MOUSE DRL__3__NL3__1,0.455555555555556
511,NL3,4,511__MOUSE DRL__4__NL3__1,0.533333333333333
511,NL3,5,511__MOUSE DRL__5__NL3__1,0.455555555555556
511,NL3,6,511__MOUSE DRL__6__NL3__1,0.455555555555556
511,NL3,7,511__MOUSE DRL__7__NL3__1,0.411111111111111
511,NL3,8,511__MOUSE DRL__8__NL3__1,0.477777777777778
511,NL3,9,511__MOUSE DRL__9__NL3__1,0.511111111111111
512,WT,10,512__MOUSE DRL__10__WT__1,0.533333333333333
512,WT,11,512__MOUSE DRL__11__WT__1,0.488888888888889
512,WT,12,512__MOUSE DRL__12__WT__1,0.555555555555556
512,WT,13,512__MOUSE DRL__13__WT__1,0.522222222222222
512,WT,1,512__MOUSE DRL__1__WT__1,0.430555555555556
512,WT,2,512__MOUSE DRL__2__WT__1,0.566666666666667
512,WT,3,512__MOUSE DRL__3__WT__1,0.555555555555556
512,WT,4,512__MOUSE DRL__4__WT__1,0.577777777777778
512,WT,5,512__MOUSE DRL__5__WT__1,0.422222222222222
512,WT,6,512__MOUSE DRL__6__WT__1,0.444444444444444
512,WT,7,512__MOUSE DRL__7__WT__1,0.522222222222222
512,WT,8,512__MOUSE DRL__8__WT__1,0.444444444444444
512,WT,9,512__MOUSE DRL__9__WT__1,0.433333333333333
513,WT,10,513__MOUSE DRL__10__WT__1,0.544444444444444
513,WT,11,513__MOUSE DRL__11__WT__1,0.522222222222222
513,WT,12,513__MOUSE DRL__12__WT__1,0.566666666666667
513,WT,13,513__MOUSE DRL__13__WT__1,0.5
513,WT,14,513__MOUSE DRL__14__WT__1,0.511111111111111
513,WT,15,513__MOUSE DRL__15__WT__1,0.555555555555556
513,WT,1,513__MOUSE DRL__1__WT__1,0.488888888888889
513,WT,2,513__MOUSE DRL__2__WT__1,0.4
513,WT,3,513__MOUSE DRL__3__WT__1,0.455696202531646
513,WT,4,513__MOUSE DRL__4__WT__1,0.522727272727273
513,WT,5,513__MOUSE DRL__5__WT__1,0.611111111111111
513,WT,6,513__MOUSE DRL__6__WT__1,0.577777777777778
513,WT,7,513__MOUSE DRL__7__WT__1,0.522222222222222
513,WT,8,513__MOUSE DRL__8__WT__1,0.566666666666667
513,WT,9,513__MOUSE DRL__9__WT__1,0.566666666666667
522,NL3,10,522__MOUSE DRL__10__NL3__1,0.477777777777778
522,NL3,11,522__MOUSE DRL__11__NL3__1,0.477777777777778
522,NL3,12,522__MOUSE DRL__12__NL3__1,0.511111111111111
522,NL3,13,522__MOUSE DRL__13__NL3__1,0.522222222222222
522,NL3,1,522__MOUSE DRL__1__NL3__1,0.677777777777778
522,NL3,2,522__MOUSE DRL__2__NL3__1,0.433333333333333
522,NL3,3,522__MOUSE DRL__3__NL3__1,0.377777777777778
522,NL3,4,522__MOUSE DRL__4__NL3__1,0.488888888888889
