"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",1.80650140625666,0.0597580713625794,30.2302494887393,9.48665362389746e-201,1.68937773860043,1.92362507391289,"DRL","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.090190511510273,0.0848908486290803,-1.06242914244324,0.288040909686496,-0.256573517440312,0.0761924944197659,"DRL","Number of Reversals"
"fixed","cond","ReferenceWT",2.25278432078537,0.0414062342872753,54.406887261363,0,2.17162959284689,2.33393904872386,"DRL OT","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.111155269007795,0.0595689385122316,-1.86599378441117,0.0620422351122456,-0.22790824308905,0.00559770507345962,"DRL OT","Number of Reversals"
"fixed","cond","ReferenceWT",1.82285143202693,0.0543310040366631,33.5508512008512,8.74926614956153e-247,1.71636462087117,1.92933824318269,"PRL","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.0683086292044139,0.077346731219919,-0.88314823557563,0.377156185481508,-0.219905436717355,0.083288178308527,"PRL","Number of Reversals"
"fixed","cond","ReferenceWT",1.87369728420743,0.0516118022612737,36.3036592816937,1.41651686904871e-288,1.77254001059813,1.97485455781673,"PRL OT","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.228503671515087,0.0754880736505176,-3.02701685796059,0.00246980183982263,-0.376457577132409,-0.0805497658977659,"PRL OT","Number of Reversals"
"fixed","cond","ReferenceWT",1.86861441133918,0.0478692371629814,39.0358092604875,0,1.77479243053233,1.96243639214603,"PRL Baselining","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.256846754361294,0.0708706082570083,-3.62416466682287,0.000289896872479842,-0.395750594107478,-0.117942914615111,"PRL Baselining","Number of Reversals"
"fixed","cond","ReferenceWT",1.62836121506734,0.0744176772994416,21.8813764976182,3.90866592150341e-106,1.48250524774731,1.77421718238737,"PRL Probe 1","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.198778409824198,0.108670333656907,-1.82918744366589,0.0673715328074383,-0.411768349979686,0.014211530331291,"PRL Probe 1","Number of Reversals"
"fixed","cond","ReferenceWT",1.27629346590554,0.0762492789228038,16.7384332538762,6.87746583441501e-63,1.12684762536969,1.42573930644138,"PRL Probe 2","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.0295006643969854,0.108636897529682,-0.271552898396469,0.785965820444207,-0.24242507094733,0.18342374215336,"PRL Probe 2","Number of Reversals"
"fixed","cond","ReferenceWT",1.38550490921436,0.0783410531173041,17.6855537943787,5.41860567198354e-70,1.2319592665935,1.53905055183521,"PRL Probe 3","Number of Reversals"
"fixed","cond","GenotypeNL3",-0.450703961336783,0.121838609757065,-3.6991883134209,0.000216290080288176,-0.68950324838706,-0.211904674286506,"PRL Probe 3","Number of Reversals"
