"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",0.305219322053849,0.127116352526169,2.40110195099419,0.0163457817164309,0.0560758492564616,0.554362794851237,"DRL","Response Latency"
"fixed","cond","GenotypeNL3",0.0715252579442611,0.132005784794042,0.541834269277335,0.587932681284638,-0.187201326003007,0.330251841891529,"DRL","Response Latency"
"fixed","cond","ReferenceWT",-0.364284271735819,0.0822287891005647,-4.43013056279236,9.41760532950973e-06,-0.525449736865265,-0.203118806606373,"DRL OT","Response Latency"
"fixed","cond","GenotypeNL3",0.223970402080037,0.0972503806833534,2.30302853835897,0.0212772374571499,0.0333631584578547,0.41457764570222,"DRL OT","Response Latency"
"fixed","cond","ReferenceWT",-0.443333684561836,0.0730491409555229,-6.06897875543487,1.28726171090002e-09,-0.58650736993625,-0.300159999187421,"PRL","Response Latency"
"fixed","cond","GenotypeNL3",0.306057305429729,0.0997698494945625,3.06763322767575,0.00215761258120652,0.110511993677405,0.501602617182053,"PRL","Response Latency"
"fixed","cond","ReferenceWT",-0.517589797052872,0.0809997077975558,-6.39002054608018,1.65863467250416e-10,-0.67634630709435,-0.358833287011395,"PRL OT","Response Latency"
"fixed","cond","GenotypeNL3",0.472281208053775,0.103333434112911,4.5704588462406,4.86657487113796e-06,0.269751398793627,0.674811017313924,"PRL OT","Response Latency"
"fixed","cond","ReferenceWT",-0.537585422692625,0.0890146823234276,-6.03928934711414,1.54794450443591e-09,-0.712050994141817,-0.363119851243433,"PRL Baselining","Response Latency"
"fixed","cond","GenotypeNL3",0.333107548953293,0.112943447262008,2.94933045722027,0.00318463253576815,0.111742460029958,0.554472637876629,"PRL Baselining","Response Latency"
"fixed","cond","ReferenceWT",-0.59735401290884,0.078969580961841,-7.5643558650449,3.89791275187039e-14,-0.752131547468268,-0.442576478349411,"PRL Probe 1","Response Latency"
"fixed","cond","GenotypeNL3",0.454408258415887,0.10285435477119,4.41797782336747,9.962864023508e-06,0.252817427411249,0.655999089420524,"PRL Probe 1","Response Latency"
"fixed","cond","ReferenceWT",-0.672692127168878,0.0796237056089897,-8.44839011226488,2.95347062471447e-17,-0.828751722478118,-0.516632531859639,"PRL Probe 2","Response Latency"
"fixed","cond","GenotypeNL3",0.511927293844495,0.110606540937423,4.62836365287045,3.68566399378466e-06,0.295142457152591,0.728712130536398,"PRL Probe 2","Response Latency"
"fixed","cond","ReferenceWT",-0.587659459875325,0.100639102278182,-5.83927565501275,5.24282625488971e-09,-0.784908475777004,-0.390410443973646,"PRL Probe 3","Response Latency"
"fixed","cond","GenotypeNL3",0.362636376187136,0.122424654573878,2.96211884321307,0.00305529830970237,0.122688462402578,0.602584289971694,"PRL Probe 3","Response Latency"
