Model,random,wsls,q-learning,assymetric q-learning,q-learning with stickiness,q-learning dual-alpha with stickiness,hmm,stage
random,0,24,41,79,87,133,320,PRL-Training
wsls,296,0,233,293,312,316,320,PRL-Training
q-learning,279,87,0,310,271,296,320,PRL-Training
assymetric q-learning,241,27,10,0,205,275,320,PRL-Training
q-learning with stickiness,233,8,49,115,0,312,320,PRL-Training
q-learning dual-alpha with stickiness,187,4,24,45,8,0,320,PRL-Training
hmm,0,0,0,0,0,0,0,PRL-Training
