"Bin Center","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Saline","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","WT Cocaine","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Saline","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine","NL3 KI Cocaine"
20,0.8662109375,0.8800578035,0.9057171515,0.8691588785,0.6726027397,0.7982142857,0.7767584098,0.8540145985,0.8502415459,0.7490636704,0.82035928143713,0.91576673866091,0.85618729096990,0.90751445086705,0.93800000000000,0.88717948717949,0.81387478849408,0.79980657640232,,,0.90259740259740,0.75371900826446,0.84810126582279,0.83010563380282,0.59052924791086,0.79953917050691,0.93457943925234,0.91198044009780,0.91250000000000,0.75896168108776,0.92682926829268,0.88365650969529,0.66339410939691,0.85524974515800,0.82508250825083,0.95930232558140,0.93153526970954,0.80911330049261,,
22,0.8925781250,0.9118497110,0.9287863591,0.8987538941,0.7383561644,0.8642857143,0.8318042813,0.8832116788,0.8840579710,0.7977528090,0.84431137724551,0.93736501079914,0.89130434782609,0.91907514450867,0.95400000000000,0.89743589743590,0.85448392554992,0.84235976789168,,,0.92424242424242,0.80165289256198,0.90333716915995,0.86003521126761,0.66155988857939,0.85023041474654,0.93925233644860,0.92665036674817,0.93125000000000,0.80593325092707,0.94013303769401,0.92243767313019,0.71949509116410,0.88379204892966,0.87898789878988,0.97965116279070,0.94398340248963,0.84729064039409,,
24,0.9394531250,0.9364161850,0.9548645938,0.9236760125,0.7986301370,0.8928571429,0.8715596330,0.9270072993,0.9130434783,0.8526841448,0.87125748502994,0.95680345572354,0.92140468227425,0.93063583815029,0.96200000000000,0.91282051282051,0.87986463620981,0.87717601547389,,,0.94588744588745,0.82975206611570,0.93210586881473,0.88468309859155,0.71169916434540,0.89861751152074,0.95794392523365,0.94376528117359,0.94062500000000,0.84548825710754,0.95121951219512,0.93628808864266,0.77419354838710,0.91641182466871,0.90539053905391,0.97965116279070,0.95643153526971,0.88177339901478,,
26,0.9550781250,0.9465317919,0.9669007021,0.9408099688,0.8438356164,0.9071428571,0.8837920489,0.9416058394,0.9323671498,0.8888888889,0.88922155688623,0.96112311015119,0.93812709030100,0.93641618497110,0.96800000000000,0.92307692307692,0.91539763113367,0.90232108317215,,,0.96320346320346,0.86942148760331,0.94821634062140,0.91197183098592,0.76880222841226,0.91013824884793,0.96728971962617,0.95354523227384,0.95000000000000,0.88627935723115,0.96452328159645,0.94459833795014,0.83309957924264,0.93374108053007,0.92959295929593,0.98255813953488,0.96680497925311,0.90270935960591,,
28,0.9677734375,0.9566473988,0.9769307924,0.9548286604,0.8821917808,0.9196428571,0.9174311927,0.9635036496,0.9323671498,0.9200998752,0.91616766467066,0.96976241900648,0.94983277591973,0.94797687861272,0.97600000000000,0.93846153846154,0.93570219966159,0.92649903288201,,,0.97402597402597,0.89090909090909,0.96202531645570,0.92957746478873,0.81615598885794,0.93548387096774,0.96728971962617,0.96821515892421,0.95937500000000,0.91100123609394,0.98226164079823,0.94736842105263,0.86115007012623,0.94189602446483,0.94499449944995,0.98546511627907,0.97925311203320,0.92241379310345,,
30,0.9824218750,0.9609826590,0.9799398195,0.9626168224,0.9082191781,0.9339285714,0.9418960245,0.9732360097,0.9565217391,0.9438202247,0.92514970059880,0.98056155507559,0.96321070234114,0.94797687861272,0.98000000000000,0.94871794871795,0.95431472081218,0.94294003868472,,,0.98051948051948,0.91239669421488,0.97238204833142,0.94718309859155,0.85793871866295,0.94930875576037,0.97196261682243,0.97799511002445,0.97187500000000,0.93077873918418,0.98891352549889,0.96398891966759,0.88078541374474,0.96228338430173,0.95599559955996,0.99127906976744,0.98340248962656,0.93472906403941,,
32,0.9882812500,0.9725433526,0.9849548646,0.9704049844,0.9287671233,0.9446428571,0.9571865443,0.9829683698,0.9710144928,0.9538077403,0.93413173652695,0.98920086393089,0.96655518394649,0.95375722543353,0.98600000000000,0.95384615384615,0.96785109983080,0.95261121856867,,,0.98484848484849,0.91900826446281,0.98043728423475,0.96126760563380,0.88300835654596,0.95391705069124,0.98130841121495,0.99022004889976,0.98125000000000,0.94684796044499,0.99113082039911,0.97229916897507,0.91304347826087,0.96839959225280,0.96809680968097,0.99127906976744,0.98340248962656,0.94581280788177,,
34,0.9931640625,0.9812138728,0.9889669007,0.9750778816,0.9452054795,0.9500000000,0.9694189602,0.9854014599,0.9710144928,0.9625468165,0.95508982035928,0.99136069114471,0.96822742474916,0.95375722543353,0.99000000000000,0.95897435897436,0.97969543147208,0.95744680851064,,,0.99350649350649,0.93223140495868,0.98504027617952,0.97095070422535,0.90947075208914,0.96774193548387,0.98130841121495,0.99511002444988,0.98750000000000,0.96415327564895,0.99113082039911,0.98060941828255,0.92847124824684,0.97451580020387,0.97689768976898,0.99127906976744,0.98962655601660,0.95443349753695,,
36,0.9970703125,0.9913294798,0.9919759278,0.9813084112,0.9547945205,0.9571428571,0.9785932722,0.9878345499,0.9710144928,0.9712858926,0.97005988023952,0.99352051835853,0.97157190635452,0.95375722543353,0.99000000000000,0.95897435897436,0.97969543147208,0.96518375241780,,,0.99783549783550,0.94710743801653,0.98734177215190,0.97711267605634,0.93175487465181,0.97004608294931,0.98598130841122,0.99511002444988,0.99062500000000,0.97404202719407,0.99334811529934,0.98060941828255,0.94670406732118,0.97961264016310,0.98239823982398,0.99127906976744,0.99377593360996,0.96059113300493,,
38,0.9970703125,0.9927745665,0.9939819458,0.9844236760,0.9657534247,0.9642857143,0.9785932722,0.9951338200,0.9758454106,0.9750312110,0.97904191616767,0.99568034557235,0.97658862876254,0.96531791907515,0.99200000000000,0.96923076923077,0.98646362098139,0.97292069632495,,,0.99783549783550,0.95041322314050,0.98849252013809,0.98063380281690,0.94568245125348,0.97235023041475,0.99065420560748,0.99755501222494,0.99062500000000,0.97898640296663,0.99334811529934,0.98337950138504,0.95792426367461,0.98572884811417,0.98569856985699,0.99418604651163,0.99377593360996,0.96921182266010,,
