,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine
WT,0.93722,0.83454,0.9079,0.81298,0.7629,0.86597,0.84097,0.9812,0.91122,1.105,1.3317,1.1366,1.0419,1.1155,0.97561,0.93923,0.97867,,,,,,,,,,,,,,,,,,,,,0.83084,0.94095,1.1084,0.92553,0.90592,0.93126,1.1212,0.95205,1.0268,0.97156,1.0633,0.9016,1.0549,0.86297,,,,,,,,,,,
NL3,0.91565,0.74094,0.65122,1.0716,0.89381,0.87258,0.71019,0.82963,0.70738,0.97399,0.40065,0.9096,0.95359,,,,,,,,,,,,,,,,,,,,,,,,,1.2381,0.95408,0.79977,0.98163,1.0389,1.0339,0.81915,0.75833,0.96902,1.0026,1.2222,0.92322,0.97709,0.76481,,,,,,,,,,,
