"Bin Center","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Saline","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","WT + Cocaine","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Saline","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine","NL3 + Cocaine"
500,0.98924731182796,0.96382054992764,0.99397590361446,0.95171339563863,0.97400820793434,0.91071428571429,0.77300613496933,0.85121951219512,0.59223300970874,0.98391089108911,0.77177177177177,0.87257019438445,0.93132328308208,0.52631578947368,0.90981963927856,0.55670103092784,0.93074324324324,0.99325626204239,,,0.86984815618221,0.93719008264463,0.98738532110092,0.99209138840070,0.97489539748954,0.84295612009238,0.63084112149533,0.83088235294118,0.73125000000000,0.97187500000000,0.85555555555556,0.77777777777778,0.95938375350140,0.98877551020408,0.98788546255507,0.77842565597668,0.89397089397089,0.97087378640777,,
550,0.99217986314761,0.97105643994211,0.99899598393574,0.95794392523365,0.98358413132695,0.93214285714286,0.80674846625767,0.86829268292683,0.63592233009709,0.99009900990099,0.83183183183183,0.90064794816415,0.95142378559464,0.55555555555556,0.91382765531062,0.60824742268041,0.94763513513514,0.99614643545279,,,0.89370932754881,0.96198347107438,0.99311926605505,0.99648506151142,0.98744769874477,0.87297921478060,0.66822429906542,0.86519607843137,0.76875000000000,0.98125000000000,0.88444444444444,0.82500000000000,0.97338935574230,0.99183673469388,0.99008810572687,0.81632653061225,0.90644490644491,0.98058252427185,,
600,0.99608993157380,0.97829232995659,0.99899598393574,0.96728971962617,0.98632010943913,0.94464285714286,0.81595092024540,0.89024390243902,0.66504854368932,0.99381188118812,0.85285285285285,0.91360691144708,0.95812395309883,0.59649122807018,0.93186372745491,0.64948453608247,0.95777027027027,0.99710982658960,,,0.90889370932755,0.97685950413223,0.99655963302752,0.99736379613357,0.98884239888424,0.88914549653580,0.71028037383178,0.88725490196078,0.80625000000000,0.98750000000000,0.90888888888889,0.83888888888889,0.97899159663866,0.99489795918367,0.99449339207049,0.83673469387755,0.92307692307692,0.98300970873786,,
650,0.99706744868035,0.98552821997106,0.99899598393574,0.97975077881620,0.99042407660739,0.95892857142857,0.84969325153374,0.90000000000000,0.70388349514563,0.99752475247525,0.87087087087087,0.93088552915767,0.96984924623116,0.61988304093567,0.94388777555110,0.68041237113402,0.96790540540541,0.99807321772640,,,0.92407809110629,0.98016528925620,0.99770642201835,0.99736379613357,0.99023709902371,0.90531177829099,0.73831775700935,0.91176470588235,0.82500000000000,0.99375000000000,0.92222222222222,0.85555555555556,0.98459383753501,0.99489795918367,0.99669603524229,0.84839650145773,0.93762993762994,0.98907766990291,,
700,1.00000000000000,0.98697539797395,0.99899598393574,0.98598130841122,0.99179206566348,0.96607142857143,0.86196319018405,0.92195121951220,0.71844660194175,0.99752475247525,0.88288288288288,0.93736501079914,0.97822445561139,0.64912280701754,0.95791583166333,0.71649484536083,0.97804054054054,0.99903660886320,,,0.94360086767896,0.98347107438017,0.99885321100917,0.99912126537786,0.99023709902371,0.92609699769053,0.74299065420561,0.92647058823529,0.84375000000000,0.99687500000000,0.93333333333333,0.89444444444444,0.98739495798319,0.99693877551020,0.99889867841410,0.86588921282799,0.95010395010395,0.99393203883495,,
750,1.00000000000000,0.98697539797395,0.99899598393574,0.98909657320872,0.99316005471956,0.97321428571429,0.88036809815951,0.92439024390244,0.72815533980583,0.99752475247525,0.89489489489490,0.94600431965443,0.98324958123953,0.69590643274854,0.96593186372746,0.75257731958763,0.98141891891892,1.00000000000000,,,0.95878524945770,0.98842975206612,0.99885321100917,1.00000000000000,0.99302649930265,0.93764434180139,0.76635514018692,0.95098039215686,0.88437500000000,1.00000000000000,0.94888888888889,0.90555555555556,0.99159663865546,0.99795918367347,0.99889867841410,0.88921282798834,0.95634095634096,0.99514563106796,,
800,1.00000000000000,0.99421128798842,0.99899598393574,0.99221183800623,0.99452804377565,0.98392857142857,0.88957055214724,0.93658536585366,0.75728155339806,0.99876237623762,0.91291291291291,0.95464362850972,0.98827470686767,0.73684210526316,0.97194388777555,0.77835051546392,0.98479729729730,1.00000000000000,,,0.96746203904555,0.98842975206612,0.99885321100917,1.00000000000000,0.99581589958159,0.94688221709007,0.78504672897196,0.95588235294118,0.90937500000000,1.00000000000000,0.96444444444444,0.91944444444444,0.99719887955182,0.99897959183674,1.00000000000000,0.89795918367347,0.96049896049896,0.99514563106796,,
850,1.00000000000000,0.99565846599132,0.99899598393574,0.99376947040498,0.99589603283174,0.98571428571429,0.90490797546012,0.94390243902439,0.76699029126214,1.00000000000000,0.92492492492493,0.96328293736501,0.99162479061977,0.74269005847953,0.97194388777555,0.78865979381443,0.98817567567568,1.00000000000000,,,0.98047722342733,0.99008264462810,1.00000000000000,1.00000000000000,0.99581589958159,0.95612009237875,0.80373831775701,0.96078431372549,0.91875000000000,1.00000000000000,0.96666666666667,0.93888888888889,0.99859943977591,0.99897959183674,1.00000000000000,0.91253644314869,0.96881496881497,0.99635922330097,,
900,1.00000000000000,0.99855282199711,0.99899598393574,0.99532710280374,0.99726402188783,0.98750000000000,0.92331288343558,0.95853658536585,0.78640776699029,1.00000000000000,0.93393393393393,0.97408207343413,0.99497487437186,0.76023391812866,0.97194388777555,0.82474226804124,0.98817567567568,1.00000000000000,,,0.98264642082430,0.99173553719008,1.00000000000000,1.00000000000000,0.99581589958159,0.96535796766744,0.82242990654206,0.96568627450980,0.92500000000000,1.00000000000000,0.97111111111111,0.94444444444444,0.99859943977591,0.99897959183674,1.00000000000000,0.92711370262391,0.97297297297297,0.99635922330097,,
950,1.00000000000000,0.99855282199711,0.99899598393574,0.99688473520249,0.99726402188783,0.99642857142857,0.93251533742331,0.96097560975610,0.81553398058252,1.00000000000000,0.94894894894895,0.98272138228942,0.99664991624791,0.76608187134503,0.97795591182365,0.84020618556701,0.99493243243243,1.00000000000000,,,0.98481561822126,0.99173553719008,1.00000000000000,1.00000000000000,0.99581589958159,0.96766743648961,0.82710280373832,0.97303921568627,0.93437500000000,1.00000000000000,0.98000000000000,0.94444444444444,0.99859943977591,1.00000000000000,1.00000000000000,0.93294460641399,0.97505197505198,0.99878640776699,,
