,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine
WT,8.53333300,5.76666700,8.30833300,5.35833300,6.09166700,4.67500000,2.72500000,3.42500000,1.72500000,6.74166700,2.78333300,3.86666700,4.98333300,1.44166700,4.16666700,1.62500000,4.94166700,8.65833300,,
NL3,3.85000000,5.05000000,7.27500000,9.49166700,5.98333300,3.61666700,1.78333300,3.40833300,2.67500000,6.76666700,3.75833300,3.00833300,5.95833300,8.17500000,7.57500000,2.86666700,4.01666700,6.87500000,,
