,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine
WT,1.59580,0.63713,0.86646,1.31830,1.33710,2.04250,1.45330,0.55663,0.42742,1.05320,1.93610,0.57329,0.61784,1.08880,0.43991,,,,,,,,,,,,,,,0.82920,0.96357,1.48900,0.65387,1.05530,0.98352,0.84127,0.61549,0.67431,1.26900,1.12970,,,,,,,,,,,,,,,,,,
NL3,0.74126,0.82696,0.79154,0.96554,0.87313,1.01110,1.01600,0.77322,0.86058,1.03810,0.94071,,,,,,,,,,,,,,,,,,,2.06200,1.30200,1.37150,1.52990,0.56008,0.93418,1.40600,1.35670,1.48960,1.48010,1.79030,,,,,,,,,,,,,,,,,,
