,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine,Cocaine
WT,12.66571000,12.65468000,11.39795000,12.67246000,19.42800000,15.95118000,16.05858000,13.20524000,13.89423000,15.23194000,13.46063000,11.73964000,13.09300000,13.24736000,11.36711000,13.48142000,15.03774000,14.51117000,,
NL3,12.18575000,16.42886000,13.56729000,13.84056000,20.02430000,15.29232000,9.86387000,11.11667000,10.95495000,15.66174000,10.69179000,12.04089000,18.53522000,13.59784000,13.85786000,9.38412100,11.16586000,14.95831000,,
