mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
482,WT,18,482__MOUSE PRL__18__WT__0.7,random,61.8265418935791,125.653083787158,128.152893457488
482,WT,18,482__MOUSE PRL__18__WT__0.7,wsls,53.1129917351048,110.22598347021,115.22560281087
482,WT,18,482__MOUSE PRL__18__WT__0.7,q-learning,54.8023385650572,113.604677130114,118.604296470775
482,WT,18,482__MOUSE PRL__18__WT__0.7,assymetric q-learning,54.1515690657975,114.303138131595,121.802567142586
482,WT,18,482__MOUSE PRL__18__WT__0.7,q-learning with stickiness,52.4421268474546,112.884253694909,122.88349237623
482,WT,18,482__MOUSE PRL__18__WT__0.7,q-learning dual-alpha with stickiness,51.9851409728728,113.970281945746,126.469330297397
482,WT,18,482__MOUSE PRL__18__WT__0.7,hmm,55.7211169625986,131.442233925197,156.4403306285
482,WT,19,482__MOUSE PRL__19__WT__0.7,random,61.8265418935791,125.653083787158,128.152893457488
482,WT,19,482__MOUSE PRL__19__WT__0.7,wsls,51.7338885229678,107.467777045936,112.467396386596
482,WT,19,482__MOUSE PRL__19__WT__0.7,q-learning,51.7782235814765,107.556447162953,112.556066503614
482,WT,19,482__MOUSE PRL__19__WT__0.7,assymetric q-learning,51.2658243287597,108.531648657519,116.03107766851
482,WT,19,482__MOUSE PRL__19__WT__0.7,q-learning with stickiness,49.8094261396706,107.618852279341,117.618090960662
482,WT,19,482__MOUSE PRL__19__WT__0.7,q-learning dual-alpha with stickiness,49.5065042646625,109.013008529325,121.512056880976
482,WT,19,482__MOUSE PRL__19__WT__0.7,hmm,53.5318670736145,127.063734147229,152.061830850532
482,WT,20,482__MOUSE PRL__20__WT__0.7,random,62.361022198642,126.722044397284,129.221854067614
482,WT,20,482__MOUSE PRL__20__WT__0.7,wsls,56.6473641805186,117.294728361037,122.294347701698
482,WT,20,482__MOUSE PRL__20__WT__0.7,q-learning,53.9902814946185,111.980562989237,116.980182329897
482,WT,20,482__MOUSE PRL__20__WT__0.7,assymetric q-learning,53.6964544491002,113.3929088982,120.892337909191
482,WT,20,482__MOUSE PRL__20__WT__0.7,q-learning with stickiness,53.5714168472228,115.142833694446,125.142072375767
482,WT,20,482__MOUSE PRL__20__WT__0.7,q-learning dual-alpha with stickiness,53.3210834593382,116.642166918676,129.141215270328
482,WT,20,482__MOUSE PRL__20__WT__0.7,hmm,58.1041388083562,136.208277616712,161.206374320015
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,random,62.3832462502151,126.76649250043,129.26630217076
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,wsls,57.6079742115344,119.215948423069,124.215567763729
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,q-learning,60.7305532686609,125.461106537322,130.460725877982
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,assymetric q-learning,60.202414599475,126.40482919895,133.904258209941
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,q-learning with stickiness,58.3728764025375,124.745752805075,134.744991486396
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,q-learning dual-alpha with stickiness,58.1057557400642,126.211511480128,138.71055983178
483,NL3,18,483__MOUSE PRL__18__NL3__0.7,hmm,58.6746672659368,137.349334531874,162.347431235176
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,random,61.289922893707,124.579845787414,127.079655457744
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,wsls,60.497040984202,124.994081968404,129.993701309065
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,q-learning,59.9406484883237,123.881296976647,128.880916317308
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,assymetric q-learning,59.4167856827677,124.833571365535,132.333000376526
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,q-learning with stickiness,58.899461016859,125.798922033718,135.798160715039
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,q-learning dual-alpha with stickiness,58.5266888442567,127.053377688513,139.552426040165
483,NL3,19,483__MOUSE PRL__19__NL3__0.7,hmm,59.3986900493136,138.797380098627,163.79547680193
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,random,61.289922893707,124.579845787414,127.079655457744
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,wsls,58.7586178926255,121.517235785251,126.516855125912
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,q-learning,62.3825559835967,128.765111967193,133.764731307854
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,assymetric q-learning,62.3385645069871,130.677129013974,138.176558024965
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,q-learning with stickiness,58.0145813609098,124.02916272182,134.028401403141
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,q-learning dual-alpha with stickiness,58.0145739901043,126.029147980209,138.52819633186
483,NL3,20,483__MOUSE PRL__20__NL3__0.7,hmm,57.5863019566563,135.172603913313,160.170700616615
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,random,61.289922893707,124.579845787414,127.079655457744
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,wsls,60.3174152464348,124.63483049287,129.63444983353
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,q-learning,62.3832647531527,128.766529506305,133.766148846966
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,assymetric q-learning,61.7866686200251,129.57333724005,137.072766251041
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,q-learning with stickiness,60.3129610169321,128.625922033864,138.625160715185
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,q-learning dual-alpha with stickiness,59.9410238886321,129.882047777264,142.381096128916
484,NL3,18,484__MOUSE PRL__18__NL3__0.7,hmm,59.0664388462658,138.132877692532,163.130974395834
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,random,59.666917811426,121.333835622852,123.833645293182
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,wsls,54.0556755337956,112.111351067591,117.110970408252
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,q-learning,58.7208768444652,121.44175368893,126.441373029591
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,assymetric q-learning,57.5497192505721,121.099438501144,128.598867512135
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,q-learning with stickiness,52.9631429605834,113.926285921167,123.925524602488
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,q-learning dual-alpha with stickiness,52.4833155154188,114.966631030838,127.465679382489
484,NL3,19,484__MOUSE PRL__19__NL3__0.7,hmm,52.6943046262635,125.388609252527,150.38670595583
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,random,62.361022198642,126.722044397284,129.221854067614
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,wsls,58.5511973027012,121.102394605402,126.102013946063
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,q-learning,58.9860180714025,121.972036142805,126.971655483466
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,assymetric q-learning,57.1773477277874,120.354695455575,127.854124466566
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,q-learning with stickiness,57.6390593516435,123.278118703287,133.277357384608
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,q-learning dual-alpha with stickiness,56.01919921001,122.03839842002,134.537446771671
484,NL3,20,484__MOUSE PRL__20__NL3__0.7,hmm,58.3563949541434,136.712789908287,161.710886611589
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,random,62.0272209872465,126.054441974493,128.554251644823
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,wsls,60.614713752899,125.229427505798,130.229046846459
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,q-learning,58.1261446238001,120.2522892476,125.251908588261
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,assymetric q-learning,57.9322665266231,121.864533053246,129.363962064237
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,q-learning with stickiness,56.9707478762432,121.941495752486,131.940734433807
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,q-learning dual-alpha with stickiness,56.7718952026297,123.543790405259,136.042838756911
485,NL3,18,485__MOUSE PRL__18__NL3__0.7,hmm,57.7211971571924,135.442394314385,160.440491017687
485,NL3,19,485__MOUSE PRL__19__NL3__0.7,random,61.289922893707,124.579845787414,127.079655457744
485,NL3,19,485__MOUSE PRL__19__NL3__0.7,wsls,62.2413312012548,128.48266240251,133.48228174317
485,NL3,19,485__MOUSE PRL__19__NL3__0.7,q-learning,62.3744274931355,128.748854986271,133.748474326932
485,NL3,19,485__MOUSE PRL__19__NL3__0.7,assymetric q-learning,60.7948254725277,127.589650945055,135.089079956046
