"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",0.00625432680033761,0.0439728013548961,0.142231711595086,0.886896984181235,-0.0799307801545928,0.092439433755268,"DRL","Lose-Shift"
"fixed","cond","genotypeNL3",0.0508838653224604,0.0621907250409976,0.81819057888321,0.413248373831482,-0.0710077159303282,0.172775446575249,"DRL","Lose-Shift"
"fixed","cond","ReferenceWT",0.517740261710822,0.0942671206514776,5.49226769771616,3.96805309501044e-08,0.332980100307634,0.70250042311401,"DRL OT","Lose-Shift"
"fixed","cond","genotypeNL3",-0.136540660325835,0.132979729646057,-1.02677799608448,0.304525012799698,-0.397176141105979,0.12409482045431,"DRL OT","Lose-Shift"
"fixed","cond","ReferenceWT",0.225573160544945,0.0486693005572894,4.63481410174407,3.57258387101405e-06,0.130183084299903,0.320963236789988,"PRL","Lose-Shift"
"fixed","cond","genotypeNL3",-0.0778850385396014,0.0687853698104066,-1.13229075825683,0.257512214225188,-0.212701886031267,0.0569318089520642,"PRL","Lose-Shift"
"fixed","cond","ReferenceWT",0.213415791342418,0.0447241570948577,4.77182366768307,1.82565306005587e-06,0.125758054197585,0.30107352848725,"PRL OT","Lose-Shift"
"fixed","cond","genotypeNL3",-0.101103773945174,0.0631838916221342,-1.6001511041741,0.109565066248843,-0.22494192592764,0.0227343780372907,"PRL OT","Lose-Shift"
"fixed","cond","ReferenceWT",0.215698068148872,0.05565811837641,3.8754107116976,0.000106445006967004,0.106610160683842,0.324785975613903,"PRL Baselining","Lose-Shift"
"fixed","cond","genotypeNL3",-0.071361863642364,0.078663336358407,-0.907180739413645,0.364311227277207,-0.225539169808602,0.082815442523874,"PRL Baselining","Lose-Shift"
"fixed","cond","ReferenceWT",0.0114605780617501,0.0524677476444045,0.218430913776272,0.827093381292538,-0.0913743176712189,0.114295473794719,"PRL Probe 1","Lose-Shift"
"fixed","cond","genotypeNL3",0.0208099836764509,0.0741677594635715,0.280579915410172,0.779032622632973,-0.124556153686179,0.166176121039081,"PRL Probe 1","Lose-Shift"
"fixed","cond","ReferenceWT",-0.237071516339565,0.0596779707801046,-3.97251302684373,7.11183455957082e-05,-0.354038189739003,-0.120104842940126,"PRL Probe 2","Lose-Shift"
"fixed","cond","genotypeNL3",0.0704009417395784,0.0842899462595695,0.835223474016461,0.403591895217174,-0.0948043171879943,0.235606200667151,"PRL Probe 2","Lose-Shift"
"fixed","cond","ReferenceWT",0.279159275330731,0.0665312851469777,4.19590985976034,2.71778328210552e-05,0.14876035259749,0.409558198063971,"PRL Probe 3","Lose-Shift"
"fixed","cond","genotypeNL3",-0.134131238457797,0.0939115759875049,-1.42827161664972,0.153213694113273,-0.318194545124703,0.0499320682091094,"PRL Probe 3","Lose-Shift"
