"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Task_Stage","Metric"
"fixed","cond","ReferenceWT",0.755939563145277,0.138412364145825,5.46150315262916,4.72119862566581e-08,0.484656314404417,1.02722281188614,"DRL","Alpha"
"fixed","cond","genotypeNL3",-0.301468686936317,0.192694106929249,-1.56449354752196,0.117701707114524,-0.679142196550756,0.0762048226781217,"DRL","Alpha"
"fixed","cond","ReferenceWT",1.69636751405301,0.184069256650348,9.21591983866908,3.08620712992321e-20,1.33559840035727,2.05713662774875,"DRL OT","Alpha"
"fixed","cond","genotypeNL3",-0.249930313034889,0.253098793101926,-0.987481251774434,0.323406769450175,-0.745994832045219,0.246134205975441,"DRL OT","Alpha"
"fixed","cond","ReferenceWT",1.23126670386646,0.132719039868692,9.27724239931684,1.73921466678547e-20,0.971142165661084,1.49139124207183,"PRL","Alpha"
"fixed","cond","genotypeNL3",-0.221628227565834,0.183524492752592,-1.20762206854106,0.227192666591414,-0.581329623641896,0.138073168510229,"PRL","Alpha"
"fixed","cond","ReferenceWT",1.3674932691618,0.171316075938504,7.98228223282843,1.4365209978962e-15,1.03171993034961,1.703266607974,"PRL OT","Alpha"
"fixed","cond","genotypeNL3",-0.560369696482948,0.22903463993463,-2.44665914572087,0.0144187125826041,-1.00926934196692,-0.111470050998975,"PRL OT","Alpha"
"fixed","cond","ReferenceWT",1.1573149378209,0.16625390680116,6.96112927562691,3.37555832957671e-12,0.831463268201551,1.48316660744026,"PRL Baselining","Alpha"
"fixed","cond","genotypeNL3",-0.391000998104901,0.226313078529722,-1.72769952423917,0.0840421089032672,-0.83456648125354,0.0525644850437378,"PRL Baselining","Alpha"
"fixed","cond","ReferenceWT",0.852982787754752,0.218659416621257,3.90096525882631,9.5809901154857e-05,0.424418206296549,1.28154736921296,"PRL Probe 1","Alpha"
"fixed","cond","genotypeNL3",-0.525814230530841,0.298429567964355,-1.7619374451316,0.078079867122014,-1.11072543566282,0.0590969746011424,"PRL Probe 1","Alpha"
"fixed","cond","ReferenceWT",-0.159009402987596,0.200768436853756,-0.792003989668063,0.428358349923584,-0.552508308453362,0.234489502478171,"PRL Probe 2","Alpha"
"fixed","cond","genotypeNL3",-0.0861560896487162,0.283679600000298,-0.303709148097451,0.761349487854971,-0.642157888798028,0.469845709500596,"PRL Probe 2","Alpha"
"fixed","cond","ReferenceWT",1.87177291787179,0.278698144131985,6.71612982462258,1.8661454477295e-11,1.32553459281494,2.41801124292863,"PRL Probe 3","Alpha"
"fixed","cond","genotypeNL3",-1.09838900653782,0.351870168867619,-3.12157467077312,0.0017988662232537,-1.78804186475238,-0.408736148323259,"PRL Probe 3","Alpha"
