mouse_id,genotype,session_id,seg_id,model,nll,aic,bic
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,hmm,56.6447234015119,133.289446803024,158.287543506326
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,random,62.2943280743479,126.588656148696,129.088465819026
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,wsls,56.819583209791,117.639166419582,122.638785760242
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,q-learning,57.675106943663,119.350213887326,124.349833227987
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,assymetric q-learning,57.6751069436629,121.350213887326,128.849642898317
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,q-learning with stickiness,56.8095439867338,121.619087973468,131.618326654789
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,q-learning dual-alpha with stickiness,56.8095439867348,123.61908797347,136.118136325121
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,hmm,59.1591588910203,138.318317782041,163.316414485343
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,random,62.1830978380636,126.366195676127,128.866005346458
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,wsls,57.2406767822326,118.481353564465,123.480972905126
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,q-learning,56.954127439862,117.908254879724,122.907874220385
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,assymetric q-learning,55.9028438795159,117.805687759032,125.305116770023
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,q-learning with stickiness,53.9233160592231,115.846632118446,125.845870799767
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,q-learning dual-alpha with stickiness,52.6377596094008,115.275519218802,127.774567570453
483,NL3,14,483__MOUSE PRL__14__NL3__0.8,hmm,56.1808364049584,132.361672809917,157.359769513219
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,random,61.8265418935791,125.653083787158,128.152893457488
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,wsls,54.9212201489429,113.842440297886,118.842059638546
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,q-learning,56.1345201788902,116.26904035778,121.268659698441
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,assymetric q-learning,56.1345201788902,118.26904035778,125.768469368771
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,q-learning with stickiness,54.5138895947339,117.027779189468,127.027017870789
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,q-learning dual-alpha with stickiness,54.5138895947338,119.027779189468,131.526827541119
483,NL3,15,483__MOUSE PRL__15__NL3__0.8,hmm,57.5917814149933,135.183562829987,160.181659533289
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,random,61.5808588615471,125.161717723094,127.661527393424
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,wsls,59.4766141960175,122.953228392035,127.952847732695
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,q-learning,59.977632278049,123.955264556098,128.954883896759
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,assymetric q-learning,59.6005231958513,125.201046391703,132.700475402693
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,q-learning with stickiness,59.0227692960605,126.045538592121,136.044777273442
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,q-learning dual-alpha with stickiness,58.8888332784578,127.777666556916,140.276714908567
483,NL3,16,483__MOUSE PRL__16__NL3__0.8,hmm,59.9220312185361,139.844062437072,164.842159140375
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,random,62.0272209872465,126.054441974493,128.554251644823
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,wsls,47.2498477911994,98.4996955823987,103.499314923059
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,q-learning,47.5611315786648,99.1222631573296,104.12188249799
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,assymetric q-learning,47.203665956569,100.407331913138,107.906760924129
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,q-learning with stickiness,47.2680077998392,102.536015599678,112.535254280999
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,q-learning dual-alpha with stickiness,46.9745118003099,103.94902360062,116.448071952271
484,NL3,11,484__MOUSE PRL__11__NL3__0.8,hmm,55.2227610619944,130.445522123989,155.443618827292
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,random,60.9534361434451,123.90687228689,126.40668195722
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,wsls,61.9068785579119,127.813757115824,132.813376456484
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,q-learning,59.7037204285367,123.407440857073,128.407060197734
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,assymetric q-learning,59.3039414348009,124.607882869602,132.107311880593
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,q-learning with stickiness,58.8094625741459,125.618925148292,135.618163829613
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,q-learning dual-alpha with stickiness,58.4629682403964,126.925936480793,139.424984832444
484,NL3,12,484__MOUSE PRL__12__NL3__0.8,hmm,60.0559267848465,140.111853569693,165.109950272996
484,NL3,13,484__MOUSE PRL__13__NL3__0.8,random,60.1423629896285,122.284725979257,124.784535649587
484,NL3,13,484__MOUSE PRL__13__NL3__0.8,wsls,51.9584322428555,107.916864485711,112.916483826372
484,NL3,13,484__MOUSE PRL__13__NL3__0.8,q-learning,57.6330032618871,119.266006523774,124.265625864435
