mouse_id,genotype,session_id,seg_id,model,alpha,beta,alpha_pos,alpha_neg,kappa0,kappa1,p_win_stay,p_loss_switch,p_switch,npar,logLik,nll,aic,bic
482,WT,16,482__MOUSE PRL__16__WT__0.8,wsls,,,,,,,0.816666677657951,0.517241377500918,,,,49.3618017441442,102.723603488288,107.723222828949
482,WT,16,482__MOUSE PRL__16__WT__0.8,q-learning,0.660015246854447,1.22214151920159,,,,,,,,,,53.8160076195633,111.632015239127,116.631634579787
482,WT,16,482__MOUSE PRL__16__WT__0.8,assymetric q-learning,,2.89500657488886,0.677987093574619,0.114538515868954,,,,,,,,52.9213415091028,111.842683018206,119.342112029196
482,WT,16,482__MOUSE PRL__16__WT__0.8,q-learning with stickiness,0.657745468037917,0.862375561404462,,,0.541370351609523,0.778759883388617,,,,,,50.401953956752,108.803907913504,118.803146594825
482,WT,16,482__MOUSE PRL__16__WT__0.8,q-learning dual-alpha with stickiness,,2.41724715514837,0.612012907259854,0.0832890548819895,0.30566956261442,1.82481508489703,,,,,,49.8044741849739,109.608948369948,122.107996721599
482,WT,16,482__MOUSE PRL__16__WT__0.8,hmm,,,,,,,,,0.292134831460674,10,-52.8559481811603,52.8559481811603,125.711896362321,150.709993065623
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,random,,,,,,,,,,,,62.361022198642,126.722044397284,129.221854067614
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,wsls,,,,,,,0.759259266510446,0.457142834740252,,,,54.6289113052848,113.25782261057,118.25744195123
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,q-learning,0.999954602131298,0.655413355666283,,,,,,,,,,58.3587561951227,120.717512390245,125.717131730906
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,assymetric q-learning,,148.413159102577,0.000790665607806035,0.999954602131298,,,,,,,,56.4742251595556,118.948450319111,126.447879330102
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,q-learning with stickiness,0.999954602131298,0.605631296168258,,,0.663450413716026,-0.755148337199438,,,,,,54.6374684092384,117.274936818477,127.274175499798
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,q-learning dual-alpha with stickiness,,148.413159102577,0.000689406125203034,0.999954602131298,0.592185691616183,-0.527886451817991,,,,,,53.5800304646403,117.160060929281,129.659109280932
483,NL3,11,483__MOUSE PRL__11__NL3__0.8,hmm,,,,,,,,,0.325842696629214,10,-56.0969802489236,56.0969802489236,132.193960497847,157.19205720115
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,random,,,,,,,,,,,,62.0272209872465,126.054441974493,128.554251644823
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,wsls,,,,,,,0.796610173488393,0.600000009965182,,,,50.6823893034463,105.364778606893,110.364397947553
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,q-learning,0.999954602131298,0.944468018970326,,,,,,,,,,54.8687751209947,113.737550241989,118.73716958265
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,assymetric q-learning,,0.944468236746443,0.999954602131298,0.999954602131298,,,,,,,,54.8687751209944,115.737550241989,123.23697925298
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,q-learning with stickiness,0.999954602131298,0.507989513891108,,,0.0134141768670517,3.33293307454563,,,,,,51.5252389343811,111.050477868762,121.049716550083
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,q-learning dual-alpha with stickiness,,0.50799394253239,0.999954602131298,0.999954602131298,0.0134178996788693,3.33290164537031,,,,,,51.5252389345418,113.050477869084,125.549526220735
483,NL3,12,483__MOUSE PRL__12__NL3__0.8,hmm,,,,,,,,,0.337078651685393,10,-56.6447234015119,56.6447234015119,133.289446803024,158.287543506326
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,random,,,,,,,,,,,,62.2943280743479,126.588656148696,129.088465819026
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,wsls,,,,,,,0.704918024902562,0.571428566940363,,,,56.819583209791,117.639166419582,122.638785760242
483,NL3,13,483__MOUSE PRL__13__NL3__0.8,q-learning,0.999954602131298,0.712195856578779,,,,,,,,,,57.675106943663,119.350213887326,124.349833227987
